id,controle,familia,feature,transporte,aparelho_aceita,aparelho_confianca,aparelho_evidencia,hefesto_aciona,codigo_ref,canal,comando,report_id,offset,detalhe,teste_que_morde,mordida,mordida_provada_em,grau,provado_em,provado_por,validade_dias,assimetria_declarada,estado_hoje,ressalva
pro.rumble_as_frequ_ncias_hd_41_626_hz_banda_bai.bluetooth,pro,vibracao,"Rumble — as frequências HD (41–626 Hz banda baixa, 82–1253 Hz banda alta)",bluetooth,parcial,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2321-2328,evdev,"idêntico ao cabo — o gargalo é o evdev/FF_RUMBLE, não o transporte",,mesmos defaults 160/320 Hz,,,,,,,,,,,
pro.rumble_do_jogo_mirado_no_pro_via_o_vpad_que_.usb,pro,vibracao,Rumble do JOGO mirado no Pro (via o vpad que o Hefesto cria para ele),usb,não,inferido-do-codigo,set_rumble_for: `alvo = self._key_to_uniq(uniq)`; sem handle → return False; e o chamador degrada para `controller.set_rumble(...)`,não,src/hefesto_dualsense4unix/daemon/subsystems/coop.py:560-588; src/hefesto_dualsense4unix/daemon/subsystems/gamepad.py:975-996; src/hefesto_dualsense4unix/core/backend_pydualsense.py:3101-3124,uhid,"o jogo escreve FF no vpad → `_make_player_rumble_sink` → `apply_game_rumble(target_uniq=MAC do Pro)` → `set_rumble_for` devolve **False** (o MAC não casa nenhum handle do backend, que só abre DualSense) → cai no BROADCAST: todos os DualSense vibram, o Pro não.",,,"É a limitação documentada no próprio docstring. O Pro só vibra se o jogo falar com o nó evdev NATIVO dele (o que a Steam faz), não pelo caminho do Hefesto.",,,,,,,,,,"DEFEITO REAL, não teórico: o jogo pede vibração no jogador do Pro e quem treme é o DualSense do outro jogador."
pro.rumble_do_jogo_mirado_no_pro_via_o_vpad_que_.bluetooth,pro,vibracao,Rumble do JOGO mirado no Pro (via o vpad que o Hefesto cria para ele),bluetooth,não,inferido-do-codigo,,não,src/hefesto_dualsense4unix/daemon/subsystems/gamepad.py:988-996,uhid,"idêntico ao cabo — o broadcast não depende do transporte, depende de o Pro não ter handle no backend",,,,,,,,,,,,,
pro.led_de_jogador_as_quatro_l_mpadas_verdes.usb,pro,luz,LED de jogador — as QUATRO lâmpadas VERDES,usb,sim,medido,"a leitura da constante mora no TICK (`ExternalLedSync`), não em `apply_player_number`, de propósito — a capacidade fica viva e testável",não,"assets/dkms/hid-nintendo/hid-nintendo.c:1219-1230, :2466-2510; src/hefesto_dualsense4unix/core/external_leds.py:98-144; src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:194, :1244-1262",sysfs,"subcomando SET_PLAYER_LIGHTS = 0x30, UM byte de argumento `(flash << 4) | on`, dentro do report de saída 0x01. Exposto como quatro nós `<inst-hid>:green:player-1..4`, `max_brightness = 1`.",saída 0x01 (rumble + subcomando),subcmd 0x30; data[0] = (flash<<4)|on; JC_NUM_LEDS = 4,"O CÓDIGO existe e funciona (`write_player_number` → `_set_brightness` nos quatro nós), mas o portão `EXTERNAL_PLAYER_LED_ENABLED = False` está FECHADO desde 07/08/2026 02:59 — DECISÃO DELA, por princípio: o produto para de acender número de jogador nos externos enquanto eles não forem jogadores de verdade.",,,,,,,,,,CUSTO MEDIDO: escrever UM nó verde recompõe o bitmap dos QUATRO e manda um subcomando 0x30 — quatro subcomandos redundantes por chamada. Calar a luz curou de tabela 348 recusas de subcomando (06-07/08) → ZERO desde 15:27:48 de 07/08.
pro.led_de_jogador_as_quatro_l_mpadas_verdes.bluetooth,pro,luz,LED de jogador — as QUATRO lâmpadas VERDES,bluetooth,sim,medido,"sem `subcmd_silence_streak_max=3` (remendo desta casa), UMA escrita de LED num controle calado custa 4 × 25 × 500 ms = 50 segundos segurando o `output_mutex`",não,"assets/dkms/hid-nintendo/hid-nintendo.c:971-1047, :883-911; src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:194",sysfs,"mesmo subcomando 0x30 no mesmo report 0x01 — MAS cada subcomando custa ≥60 ms de janela de TX (contra 20 ms no cabo), e o driver ainda exige 3 relatórios de entrada consecutivos com delta de 8–17 ms antes de liberar",saída 0x01,subcmd 0x30; JC_SUBCMD_RATE_LIMITER_BT_MS = 60; JC_SUBCMD_RATE_MAX_ATTEMPTS = 25,"Mesma decisão dela: portão fechado. Antes de fechar, era AQUI que o bombardeio matava o rádio.",,,,,,,,,,
pro.led_de_jogador_o_padr_o_que_o_driver_acende_.ambos,pro,luz,"LED de jogador — o padrão que o DRIVER acende sozinho, no probe",ambos,sim,medido,"SEGUNDO-ESCRITOR-01 (08/08): medido com o portão da luz FECHADO e ZERO escritas nossas, o `hid-nintendo` emite o padrão e o firmware recusa subcomando 1 a 2 vezes por conexão",não,"assets/dkms/hid-nintendo/hid-nintendo.c:623-641, :2513-2555",sysfs,"`joycon_leds_create` aloca um id num IDA GLOBAL, usa `player_id % 8` como índice na tabela oficial da Nintendo e loga `assigned player N led pattern` — antes de qualquer software",,"tabela: {1,0,0,0}, {1,1,0,0}, {1,1,1,0}, {1,1,1,1}, {1,0,0,1}, {1,0,1,0}, {1,0,1,1}, {0,1,1,0}","NÃO EXISTE estado ""sem número"" no Pro. Com a escrita nossa calada, o que fica aceso é o padrão do kernel ou o resíduo da última escrita nossa — hoje congelado em player-1=1, player-2=1 desde 15:24:01 de 07/08.",,,,,,,,,,"Consequência: o critério ""zero recusas de subcomando"" é INATINGÍVEL, e qualquer detector que compare o aparelho contra ""o que NÓS escrevemos"" acha, após cada conexão, um padrão que não escrevemos — semente de laço infinito."
pro.led_home_a_l_mpada_azul_do_anel_do_bot_o_hom.usb,pro,luz,LED HOME (a lâmpada AZUL do anel do botão Home),usb,sim,medido,max_brightness = 0xF medido em /sys/class/leds/*057E*/max_brightness; registrado só quando `jc_type_has_right(ctlr)`,não,"assets/dkms/hid-nintendo/hid-nintendo.c:1232-1249, :2573-2588; src/hefesto_dualsense4unix/core/external_leds.py:41-57, :98-144",sysfs,"subcomando SET_HOME_LIGHT = 0x38, CINCO bytes de argumento, no report de saída 0x01. Nó `<inst-hid>:blue:player-5`, `max_brightness = 15` (é um programa de PWM, não um liga/desliga).",saída 0x01,"subcmd 0x38; data = [0x01, brilho<<4, brilho|(brilho<<4), 0x11, 0x11]","O NOME MENTE: o kernel monta o nó com `LED_FUNCTION_PLAYER5`, mas NÃO é um quinto jogador — é o LED HOME, subcomando SEPARADO dos verdes.",,,,,,,,,,"DEFEITO CONHECIDO NO NOSSO WRITER: `write_player_number` escreve `1` nesse nó para significar ""some 5 aos verdes"" (R-25). Escrever 1 num nó de 15 degraus acende o HOME no brilho mínimo. Hoje inerte (portão fechado); o doc marca como ""não voltar sem corrigir""."
pro.led_home_a_l_mpada_azul_do_anel_do_bot_o_hom.bluetooth,pro,luz,LED HOME (a lâmpada AZUL do anel do botão Home),bluetooth,sim,medido,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2573-2588; src/hefesto_dualsense4unix/core/external_leds.py:126-138,sysfs,"mesmo subcomando 0x38 — e é um subcomando A MAIS, somado aos quatro dos verdes: cinco subcomandos por chamada de `write_player_number`, cada um com ≥60 ms de janela",saída 0x01,"subcmd 0x38, 5 bytes de argumento",É a ORIGEM MEDIDA do bombardeio de subcomando que matava o 8BitDo por rádio.,,,,,,,,,,"A documentação pública descreve o 0x38 completo com 25 bytes de argumento (ciclos, duração, intensidades, transição); o Linux manda a versão curta de 5. GRAU MÉDIA para os 25 bytes — fonte única de comunidade."
pro.lightbar_rgb.nenhum,pro,luz,Lightbar RGB,nenhum,não,inferido-do-codigo,"o caminho de lightbar RGB do `write_lightbar_slot` é do 8BitDo em modo PS4 (driver playstation), não do Pro",não,src/hefesto_dualsense4unix/core/external_leds.py:296-325; assets/dkms/hid-nintendo/hid-nintendo.c (nenhuma menção a lightbar),outro,"nao-localizado — o aparelho NÃO TEM. Não há nó `:red`/`:green`/`:blue`/`:global` no caminho `hid-nintendo`, nem campo de cor em report de saída nenhum.",,,"`resolve_external_leds` bifurca: `(""nintendo"", inst)` quando há a barra verde, `(""ds4"", prefixo)` quando só há a lightbar RGB. O Pro cai SEMPRE no primeiro ramo.",,,,,,,,,,
pro.girosc_pio.usb,pro,movimento,Giroscópio,usb,sim,inferido-do-codigo,"`joycon_enable_imu` é chamado dentro de `joycon_init` sob `if (joycon_has_imu(ctlr))`, SEM porteiro de bus, e `joycon_has_imu` é verdadeiro para procon",parcial,"assets/dkms/hid-nintendo/hid-nintendo.c:839-844, :1569-1580, :2925-2947; src/hefesto_dualsense4unix/core/external_leds.py:155-192; src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:196-212, :878-940; src/hefesto_dualsense4unix/core/evdev_reader.py:1404-1461",evdev,"3 amostras por relatório 0x30. Nó evdev SEPARADO `Pro Controller (IMU)`, eixos ABS_RX/RY/RZ com `INPUT_PROP_ACCELEROMETER`. Ligado pelo DRIVER, sozinho, no probe (subcomando ENABLE_IMU 0x40, data[0]=0x01).",entrada 0x30; subcmd de ligar = 0x40,"JC_IMU_GYRO_RES_PER_DPS = 14247 (isto é 14,247 LSB por grau/s), faixa ±2000 °/s, escala interna ×1000","O Hefesto escreve o Enable-IMU CRU no hidraw (`enable_imu`, 12 bytes) SÓ por USB e SÓ para a OUI e0f6b5, ≤2 tentativas por adoção espaçadas ≥2 s. Mas ele NÃO LÊ o giroscópio do Pro: o `MotionSensorReader` só descobre nós de DualSense (`_discover_dualsense_por_nome`, filtrado por VID/PID Sony).",,,,,,,,,,"O `enable_imu` do Hefesto é PROVÁVEL CÓDIGO MORTO: o pacote é byte a byte o que o driver monta, e o driver já o manda no probe em TODO barramento. A docstring do módulo ainda diz que o hid-nintendo ""declara mas não ativa"" a IMU — isso é FALSO nesta versão do driver. Ninguém mediu a IMU COM e SEM a nossa escrita."
pro.girosc_pio.bluetooth,pro,movimento,Giroscópio,bluetooth,sim,medido,"MEDIDO: 89,2 relatórios/s (536 em 6,0 s) × 3 amostras = 268 amostras/s, batendo com os 267 SYN/s medidos no nó de IMU",não,"src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:205, :902; docs/protocol/externos-referencia-canonica.md:347-367",evdev,"idêntico ao cabo — mesmo report 0x30, mesmo subcomando 0x40 mandado pelo driver no probe",entrada 0x30,JC_IMU_GYRO_RES_PER_DPS = 14247,"A escrita do `enable_imu` do Hefesto está BLOQUEADA por rádio de propósito (`_IMU_ENABLE_ALLOWED_BUS = ""usb""`, FASE 1 do GYRO-02). E a leitura continua sem existir.",,,,,,,,,,"O default do driver `JC_IMU_DFLT_AVG_DELTA_MS = 15` é 36% maior que a realidade deste link (11,2 ms) — ele se corrige sozinho depois de 300 amostras. As fontes públicas de 60/120 Hz e 8 ms ficam REFUTADAS."
pro.aceler_metro.usb,pro,movimento,Acelerômetro,usb,sim,inferido-do-codigo,constantes do driver conferidas no módulo carregado nesta máquina,não,"assets/dkms/hid-nintendo/hid-nintendo.c:236-259, :2380-2392",evdev,"mesmo nó `Pro Controller (IMU)`, eixos ABS_X/ABS_Y/ABS_Z; 3 amostras por relatório 0x30",entrada 0x30,"JC_IMU_ACCEL_RES_PER_G = 4096 LSB/g, faixa ±8 g","ARMADILHA DE ESCALA: o DualSense é 8192 LSB/g (±4 g) e 1024 LSB/(°/s); o Pro é 4096 LSB/g (±8 g) e 14,247 LSB/(°/s). Quem comparar eixos sem converter erra por 2× no acelerômetro e ~14× no giroscópio.",,,,,,,,,,"O Hefesto NÃO decodifica acelerômetro de aparelho nenhum — nem do DualSense (lá ele viaja como bytes opacos até o vpad). No Pro não há nem isso: não há espelho de motion para externo, por decisão (""gyro nativo, sem espelho"")."
pro.aceler_metro.bluetooth,pro,movimento,Acelerômetro,bluetooth,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:236-239,evdev,idêntico ao cabo,entrada 0x30,JC_IMU_ACCEL_RES_PER_G = 4096,,,,,,,,,,,
pro.perda_de_amostras_de_imu_o_instrumento_de_r_.bluetooth,pro,movimento,Perda de amostras de IMU (o instrumento de rádio que está de graça no journal),bluetooth,sim,medido,o número CRESCE enquanto se mede — toda contagem desta métrica tem de vir com carimbo de hora,não,"assets/dkms/hid-nintendo/hid-nintendo.c:227, :1718-1725",outro,o driver conta relatórios 0x30 perdidos e loga por `hid_warn_ratelimited` quando a rajada passa de 3,,"JC_IMU_DROPPED_PKT_WARNING = 3, e o teste é `>` (não `>=`)",MEDIDO em 07/08 19h41: 1613 episódios e 10285 relatórios perdidos no dia; 2684 e 18897 no boot inteiro.,,,,,,,,,,"Duas armadilhas: perdas de 1 a 3 relatórios NÃO aparecem no journal (a perda real é maior que a medida, por construção), e `N` conta RELATÓRIOS, não amostras — cada um vale 3. A soma é um PISO."
pro.perda_de_amostras_de_imu.usb,pro,movimento,Perda de amostras de IMU,usb,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:1718-1725,outro,mesmo contador (não há ramo de bus),,JC_IMU_DROPPED_PKT_WARNING = 3,Nunca medido por cabo nesta casa — todas as contagens publicadas são de links Bluetooth.,,,,,,,,,,
pro.bateria_n_vel_em_cinco_degraus_n_o_h_percent.usb,pro,energia,Bateria — nível em CINCO DEGRAUS (não há percentual),usb,parcial,medido,nó `nintendo_switch_controller_battery_0005:057E:2009.0017` existe e não tem arquivo `capacity` (MEDIDO 07/08),não,"assets/dkms/hid-nintendo/hid-nintendo.c:1843-1878, :2611-2659; src/hefesto_dualsense4unix/daemon/battery_journal.py:91",sysfs,byte `bat_con` do relatório 0x30 → `/sys/class/power_supply/nintendo_switch_controller_battery_<inst>/capacity_level` + `status` + `present` + `scope`,entrada 0x30,"bat_con: bit 0 = alimentado pelo host, bit 4 = carregando, `>> 5` = nível (0 vazio, 1 baixo, 2 médio, 3 alto, 4 cheio)","O arquivo `capacity` NÃO EXISTE: o vetor tem QUATRO propriedades — PRESENT, CAPACITY_LEVEL, SCOPE, STATUS — e percentual não é uma delas. E o Hefesto não lê bateria de externo em caminho nenhum (grep por `power_supply`/`capacity` em src/ só acha o `battery_journal`, que aponta para `ps-controller-battery-*`, do DualSense).",,,,,,,,,,"É BOM que o Hefesto não leia: um amostrador ingênuo gravaria AUSENTE a noite inteira no Pro e ""100% cheia"" no 8BitDo (valor de inicialização). As duas réguas são INCOMPARÁVEIS — cinco degraus contra percentual."
pro.bateria_n_vel_em_cinco_degraus_n_o_h_percent.bluetooth,pro,energia,Bateria — nível em CINCO DEGRAUS (não há percentual),bluetooth,parcial,medido,"concorda com dekuNukem (""8=full, 6=medium, 4=low, 2=critical, 0=empty. LSB=Charging"" — o nibble dele são os bits altos daqui): duas fontes independentes",não,assets/dkms/hid-nintendo/hid-nintendo.c:2638-2646,sysfs,idêntico ao cabo — o `bat_con` vem no mesmo relatório 0x30,entrada 0x30,bat_con >> 5,"`status` só vira `Full` quando a capacidade é `Full` E há alimentação externa — ou seja, por rádio ele nunca dirá `Full`, dirá `Discharging` com `capacity_level=Full`.",,,,,,,,,,
pro.calibra_o_de_sticks_e_de_imu.usb,pro,movimento,Calibração de sticks e de IMU,usb,sim,inferido-do-codigo,"sem o byte mágico, o driver usa a de fábrica",não,"assets/dkms/hid-nintendo/hid-nintendo.c:186-212, :1251-1300",hidraw,"subcomando SPI_FLASH_READ = 0x10, com `put_unaligned_le32(start_addr)` + `data[4] = size`; a resposta começa no 6º byte de `subcmd_reply.data`","saída 0x01 (subcmd 0x10), resposta em entrada 0x21","IMU de fábrica 0x6020 (24 B, até 0x6037); IMU de usuário: mágico 0x8026, dados 0x8028; sticks de fábrica 0x603d/0x6046; sticks de usuário: mágico 0x8010/0x801B (bytes 0xB2 0xA1)","CONTRASTE DURO com o DualSense, onde a calibração é o feature report 0x05 de 41 bytes: um instrumento escrito para um NÃO SERVE para o outro.",,,,,,,,,,O co-op do Hefesto passa `calibration_0x05=None` para o vpad do Pro (fail-safe → 0x05 canônico embutido) justamente porque não há como ler a calibração dele por esse caminho.
pro.calibra_o_de_sticks_e_de_imu.bluetooth,pro,movimento,Calibração de sticks e de IMU,bluetooth,sim,inferido-do-codigo,"docs/protocol/externos-referencia-canonica.md §3.2, a sequência exata do probe por rádio",não,assets/dkms/hid-nintendo/hid-nintendo.c:2839-2985,hidraw,idêntico ao cabo — os passos 2 a 5 da sequência de probe por rádio são exatamente as leituras de SPI,saída 0x01 (subcmd 0x10),"0x8010, 0x801B, 0x8026, 0x6020",,,,,,,,,,,
pro.nfc_amiibo_canais_de_mcu.usb,pro,plataforma,NFC / amiibo (canais de MCU),usb,sim,inferido-do-codigo,"`grep -n ""subcmd_id = JC_SUBCMD""` devolve exatamente sete linhas e nenhuma é 0x20/0x21/0x22",não,"assets/dkms/hid-nintendo/hid-nintendo.c:123, :138-140, :155, :2993-2999",hidraw,"saídas 0x11 e 0x12; entradas 0x31, 0x32, 0x33 (361 bytes); subcomandos RESET_MCU 0x20, SET_MCU_CONFIG 0x21, SET_MCU_STATE 0x22",saída 0x11/0x12; entrada 0x31/0x32/0x33,"subcmds 0x20, 0x21, 0x22",O APARELHO tem. O DRIVER declara as constantes e NÃO EMITE nenhuma: o único uso do 0x31 é aceitá-lo no `joycon_ctlr_read_handler`. Zero suporte a NFC/amiibo no kernel e zero no Hefesto.,,,,,,,,,,"Registrado para ninguém ""descobrir"" isso como oportunidade: é o caminho de NFC e amiibo, sem uso nenhum neste produto."
pro.nfc_amiibo_canais_de_mcu.bluetooth,pro,plataforma,NFC / amiibo (canais de MCU),bluetooth,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:120-141,hidraw,mesmos reports e subcomandos — o envelope do Pro não muda por transporte,saída 0x11/0x12; entrada 0x31/0x32/0x33,,idem cabo: nem o kernel nem o Hefesto emitem,,,,,,,,,,
