comportamento,aba,dono,onde_html,veredito,economia_linhas,razao
luz.codigo_da_cor,02,interface/pacotes/a02_controles.py:luz_hex,app/widgets/controller_card.py:_update_lightbar,DIVERGE-HTML-CERTO,,"O GTK mostra o hexadecimal sempre; o HTML mostra a palavra nos quatro estados de ressalva. Decisão dela de 04/09, e o motor declara que o número é o que PEDIMOS, não o que a barra emite."
botoes.valor_efetivo,06,app/actions/input_actions.py:_resolve_effective_bindings,interface/pacotes/a06_navegacao.py:_o_que_a_tabela_diz_de_cada_botao,DIVERGE-DUAS-TABELAS,777,Duas tabelas sobre DOIS campos do mesmo perfil: `key_bindings` (GTK) e `button_actions` (HTML). Para o mesmo botão a GTK mostra Enter e a nova mostra Botão esquerdo.
botoes.grava,06,app/actions/input_actions.py:_persist_key_bindings_to_draft,interface/pacotes/a06_navegacao.py:guardar_definicoes,DIVERGE-PERDE-TRABALHO,,"O Guardar da tela nova anula, na ativação seguinte, o que a janela antiga escreveu — `apply_button_actions` reescreve o conjunto a partir de `acoes.resolver()`, que nunca consulta `key_bindings`."
botoes.lista_de_linhas,06,app/actions/input_actions.py:CANONICAL_BUTTONS,interface/pacotes/a06_navegacao.py:_linhas_dos_botoes,DIVERGE-PROMETE-O-QUE-NAO-FAZ,,A tabela nova oferece as três regiões do touchpad como linhas editáveis e não avisa; o portão em daemon/subsystems/keyboard.py cala. Ela mandou tirá-las em 09/08 e o GTK tirou.
teste.par_que_vibra,05,app/actions/rumble_actions.py:on_rumble_test_500ms,interface/pacotes/a05_vibracao.py:testar,DIVERGE-SEM-DONO,,O GTK manda o par do PERFIL; o HTML manda o último pedido do JOGO. Não existe dono para 'com que força se testa'.
forca.efetiva_da_peca,05,app/draft_config.py:effective_rumble_for,interface/pacotes/a05_vibracao.py:_forca_da_coluna,DIVERGE-INTERNO,,"A própria aba se contradiz: `_forca_da_coluna` lê o global VIVO e `_ressalva_da_mesa` lê o global do PERFIL, no mesmo tique."
mouse.vel_cursor,06,app/actions/mouse_actions.py:on_mouse_speed_changed,interface/pacotes/a06_navegacao.py:vel_cursor,DIVERGE,,O GTK não manda ao daemon com o mouse desligado; o HTML manda sempre.
mic.dica_do_interruptor,08,app/actions/config/secao_controles.py:dica_do_microfone,interface/pacotes/a08_conexoes.py:caminho_do_microfone,DIVERGE-AFIRMA-DEMAIS,,Sobre um controle sem canal de captura o GTK recusa dizendo e o HTML afirma por onde o microfone chega — e aceita o clique.
perfil.editor.regra_nao_mostravel,10,app/actions/profiles_actions.py:_populate_editor,app/actions/perfis_web.py:_ambiente_do_perfil,DIVERGE-FECHA-PORTA,,"Com `detect_simple_preset` devolvendo None — 7 dos 9 perfis de fábrica — o GTK abre o modo avançado e a tela nova tranca, mandando usar a linha de comando."
bateria.texto,01,app/actions/status_actions.py:_bateria_da_mesa,interface/pacotes/a01_jogar.py:pacote,DIVERGE,,"A aba 01 escreve `87%` e a aba 02 escreve `87 %`, três centímetros abaixo. A aba 02 está certa (paridade com a janela)."
jogador.rotulo,01,app/actions/home_actions.py:_format_players_hint,interface/pacotes/a01_jogar.py:_jogador_esperando,DIVERGE-INVENTA,,A aba 01 escreve 'Player 2' sobre `player_slot`; o GTK recusa afirmar um jogador que o jogo não confirmou.
bateria.impoe,09,app/actions/config/secao_orcamento.py:celula_do_perfil,gui/aba_sistema.py:linha_do_impoe,DIVERGE,,Com o perfil em `eu_escolho` o GTK diz 'Cada aba manda' e a tela nova diz 'Nada é limitado' — e `core/rumble._effective_mult` continua aplicando a política.
exame.coluna_inteira,08,app/actions/config/secao_exame.py:_dica_do_item,interface/pacotes/a08_conexoes.py:_selos_por_estado,DUPLICATA,350,591 linhas no HTML contra 152 no dono. O próprio código traz a catraca `_dono_sabe_desenhar_a_ordem` que diz quando cobrar.
regua.do_radio,08,integrations/radio_da_mesa.py:ocupacao_por_adaptador,interface/pacotes/a08_conexoes.py:_regua_do_radio,DUPLICATA,200,353 linhas recalculam o que o dono já devolve — e recalculavam porque a ponte para ele nunca funcionou (ver radio.ocupacao.para_a_tela).
botoes.tabela,06,app/actions/input_actions.py:_install_key_bindings_treeview,interface/pacotes/a06_navegacao.py:_linhas_dos_botoes,DUPLICATA,534,"777 linhas contra 243. A maior das dez abas, e a que mais diverge."
perfis.lista.serializacao,10,app/actions/profiles_actions.py:_populate_profiles_store,interface/pacotes/a10_perfis.py:_linha_da_lista,DUPLICATA,175,195 linhas para escrever as mesmas cinco colunas que o ListStore escreve em vinte — e o cálculo das cinco já é compartilhado.
daemon.leitura_no_tique,09,app/actions/daemon_actions.py:_refresh_daemon_view_async,interface/hefesto_vivo.py:_tique,DUPLICATA-QUE-PIOROU,110,"132 linhas de cache e thread existem porque o tique lê o daemon com socket BLOQUEANTE. O dono faz o mesmo em 22 linhas com executor + idle_add. Causa medida do congelamento de 8,4 s."
estado.vocabulario_da_aba_sistema,09,app/actions/daemon_actions.py:_set_daemon_status_markup,gui/aba_sistema.py:_ESTADO_DO_HEFESTO,DUPLICATA,110,"198 linhas contra 88. O comentário do próprio arquivo admite a duplicação e diz que 'as duas viram uma no dia em que a aba velha morrer' — e enquanto vivem, discordam."
desfecho.da_cor,04,app/actions/lightbar_actions.py:_aplicar_cor_no_controle,interface/pacotes/a04_iluminacao.py:sem_resposta_do_daemon,DUPLICATA,164,277 linhas contra 113. O ramo por-uniq do GTK é linha a linha o corpo do HTML.
desfecho.do_gatilho,03,app/actions/triggers_actions.py:_toast_trigger,interface/pacotes/a03_gatilhos.py:_fala_de_destino,DUPLICATA,135,207 linhas contra 72. O GTK delega a decisão inteira a `frase_do_desfecho`; o HTML a refaz.
rascunho.do_gatilho,03,app/actions/triggers_actions.py:_refresh_triggers_from_draft,interface/pacotes/a03_gatilhos.py:_do_rascunho,DUPLICATA,122,"208 linhas contra 86 sobre o DraftConfig, que já sabe fundir override com global por campo."
forca.por_controle,05,app/draft_config.py:effective_rumble_for,interface/pacotes/a05_vibracao.py:_forca_propria,DUPLICATA,290,410 linhas contra 120. O `with_controller_rumble` é chamado; a leitura de volta e a precedência foram reescritas.
vigia.da_steam,07,app/actions/carona_do_wrapper.py:_carona_armar_vigia,interface/pacotes/a07_lancadores.py:_VigiaDaSteam,DUPLICATA,96,"145 linhas contra 49 — a mesma máquina de estados, com temporizador e guarda de reentrada reescritos."
leitura_viva.do_cartao,02,app/widgets/controller_card.py:_update_inputs,interface/pacotes/a02_controles.py:meias_da_barra,DUPLICATA,60,"O laço dos 16 glifos, o remendo create->share, os dois limiares e o default 128 cabem numa função só do dono."
pendente.memoria_e_faixa,01,app/actions/home_actions.py:reconciliar_pendente,interface/pacotes/a01_jogar.py:_faixa_do_pendente,DUPLICATA,51,"A REGRA já é chamada; o que se duplica é o armazém — e ele mudou de escopo, de estado de janela para estado de MÓDULO."
jogo.o_que_chega,02,app/widgets/controller_card.py:resumo_do_que_chega_ao_jogo,,SO-GTK,,"Diz recurso a recurso o que o jogo recebe. ~200 linhas prontas, zero chamadores em interface/."
mascara.custo,01,app/actions/home_actions.py:texto_do_custo_da_mascara,,SO-GTK,,O que a máscara Xbox não faz. Ela decidiu em 05/09 (10-Q6) que as frases de limitação SAEM — esta linha é a que executa a decisão.
mascara.divergencia,01,app/actions/home_actions.py:mascara_divergente_do_daemon,interface/pacotes/a01_jogar.py:_aviso_da_divergencia_de_mascara,CURADO,,Avisa quando a máscara do daemon diverge da escolhida. || CURADO em 06/09/2026 pela JOGAR-OS-SEIS-AVISOS-01: A tela nova pergunta a `home_actions.mascara_divergente_do_daemon` — o alarme tem UM dono e ela não o reescreve.
grab.aviso,01,app/actions/home_actions.py:aviso_de_grab,app/actions/jogar/painel.py:aviso_do_grab_dobrado,CURADO,,"'O jogo pode receber cada botão duas vezes' — com o porquê no hover. || CURADO em 06/09/2026 pela JOGAR-OS-SEIS-AVISOS-01: A tela nova chama `home_actions.aviso_de_grab`; a CONDIÇÃO não foi reescrita, e o par (linha, porquê) vira rótulo + hover."
externos.na_mesa,01,app/actions/home_actions.py:externos_na_mesa,interface/hefesto_vivo.py:_talvez_ler_os_externos,CURADO,,"Os cartões de controle externo e a contagem que os inclui. || CURADO em 06/09/2026 pela EXTERNOS-01: o piloto passou a pedir `controller.list {external: true}` no tique lento (`_talvez_ler_os_externos`, com o teto de 4 s da própria janela antiga) e a mastigar a resposta pelo DONO — `externos_na_mesa` —, que é o que tira esta linha do SO-GTK. A lista viaja em campo PRÓPRIO do `pacotes.Contexto` (`externos`), nunca dentro de `conectados`: um externo não tem assento, e somá-lo ali faria o cabeçalho contar jogador que não existe. As duas abas o desenham (`a01_jogar._html_dos_externos`, `a08_conexoes._html_dos_externos`), e as TRÊS frases continuam vindo do dono na janela antiga. Régua: tests/unit/test_a_interface_ve_os_controles_que_o_hefesto_so_ve.py"
reconciliar.recado,01,app/actions/home_actions.py:reconciliar_toast,app/actions/jogar/painel.py:recibo_do_reconectar,CURADO,,A tela nova ignora os dois retornos do Reconciliar. || CURADO em 06/09/2026 pela JOGAR-OS-SEIS-AVISOS-01: `home_actions.reconciliar_toast` continua dona das quatro frases; a função nova existe só por POSIÇÃO na tela.
speaker.devolver_posse,02,app/widgets/controller_card.py:acao_speaker_devolucao,,SO-GTK,,Devolve a posse do registrador de volume ao aparelho. Decisão dela de 31/08 tirou o botão da tela nova — confirmar se ainda vale.
audio.selos_de_saida,02,app/widgets/controller_card.py:saida_muda_do_entry,interface/pacotes/a02_controles.py:_confirmar_com_som,CURADO,,"Sem som, canal dormindo, saída muda. Era SO-GTK: só o card da janela lia o dono. Em 06/09/2026 o som de confirmação do alto-falante nasceu na aba 02 e PERGUNTA ao mesmo dono antes de tocar — com a saída do sistema muda, tocar gastaria um processo para produzir silêncio, e ela leria o silêncio como defeito do controle. A-CONFISSAO-NO-BOTAO-01, régua test_a02_o_botao_confessa_o_alvo_e_o_som_confirma.py"
exame.ver_o_que_foi_calado,08,app/actions/config/secao_exame.py:_mostrar_o_botao_do_cabecalho,,SO-GTK,,Na aba 08 uma ordem dispensada some para sempre — e a ajuda ainda manda procurar um botão que ela tirou em 31/08.
exame.ordem_ja_movi,08,app/actions/config/secao_exame.py:_botoes_da_ordem,,SO-GTK,,'Já movi — reexaminar'. O contrato de gestos da aba declara `exame.ja-movi` e ninguém o implementa.
migrar_para_systemd,09,app/actions/daemon_actions.py:MIGRAR_DEU_CERTO,interface/pacotes/a09_sistema.py:corrigir_modo,CURADO,,"O botão que só aparece em `online_avulso` — justamente o estado que a tela nova chama de 'Ligado, em modo improvisado'. || CURADO em 06/09/2026 pela SISTEMA-OS-QUATRO-QUE-FALTAM-01: o gesto `corrigir-modo` nasceu na aba 09 e faz os três tempos na ordem da janela antiga — ler o pid por `_matriz()._read_daemon_pid()`, esperar o avulso sair (`_o_avulso_saiu`, que consulta o `is_alive` do produto) e subir a unit por `ativar_o_servico`. || O DONO AQUI NÃO É `on_daemon_migrate_to_systemd`, e a razão é medida: aquele símbolo é o INVÓLUCRO GTK do ato — recebe `Gtk.Button`, roda num executor e responde por `GLib.idle_add` —, e não há como a tela nova o chamar. O que viajou foi o ato; o que a ponte carrega, e o que alguém REDIGITARIA ao recriar isto, são as duas frases de recibo (`MIGRAR_DEU_CERTO` e `MIGRAR_NAO_DEU`), que saíram de dentro do `_on_migrate_done` no mesmo commit justamente para não haver duas. É por elas que o portão cobra. || ESTA LINHA ERA A ÚNICA `SO-GTK` VERMELHA, e o vermelho vinha do texto: a régua lia `on_daemon_migrate_to_systemd` nos dois docstrings de `a09_sistema.py` que contam de onde o gesto veio, e contava PROSA como chamada. O veredito estava velho de verdade; a razão da acusação, não. Ver `paridade-gtk-html.csv:315`, a mesma feature do outro lado."
perfil.editor.modo,10,app/actions/profiles_actions.py:_set_mode_editor,,SO-GTK,,"O modo do perfil (Hefesto ou puro, e o sabor da máscara) não é editável na tela nova."
perfil.editor.avancado,10,app/actions/profiles_actions.py:on_profile_advanced_toggle,,SO-GTK,,"`window_class`, `window_title_regex` e `process_name` não têm campo — e é o que fecha a porta para 7 dos 9 perfis de fábrica."
perfil.renomear_ou_copiar,10,app/actions/profiles_actions.py:dialogo_renomear_ou_copiar,,SO-GTK,,"A tela nova sempre RENOMEIA: `editor.nome` grava `save_profile` no nome novo e `delete_profile` no antigo (`a10_perfis.py:2311`), sem perguntar. O que falta é a PERGUNTA do R-10 — trocar o nome e Salvar não pode ser adivinhado entre ""renomear"" e ""criar uma variante"", e o dono devolve as duas respostas. || FATO SUBSTITUÍDO em 06/09/2026 (A-CURA-DOS-DOIS-PORTOES-01): esta linha dizia *""não há como pedir uma cópia mantendo o antigo""*, e isso caducou — o gesto `duplicar` (`a10_perfis.py:3046`) copia o perfil inteiro por `model_copy` e mantém o antigo. O veredito NÃO muda: o que é só da janela é a desambiguação NO SALVAR, e é ela que evita o defeito R-10 (os dois arquivos ficam no disco com o mesmo `match` e a mesma prioridade, disputando as mesmas janelas). O botão Duplicar é outro caminho, num outro momento."
perfil.queda_de_prioridade,10,app/actions/profiles_actions.py:queda_de_prioridade_pede_aviso,,SO-GTK,,"Baixar a prioridade pelo slider da tela nova grava calado, sem o aviso que o GTK dá."
